IP Address,Logname,User,Date,Request,Code,Size,Country,Referer,UserAgent
0.0.0.0,-,-,[12/Nov/2021:00:00:01 +0000],"[pid 22378] AH02604: Unable to configure certificate clabsql.clamv.jacobs-university.de:443:0 for stapling",4,0,N/A,,error
0.0.0.0,-,-,[12/Nov/2021:00:00:01 +0000],"[pid 22378] AH00163: Apache/2.4.43 (Linux/SUSE) OpenSSL/1.1.1d PHP/7.4.6 mod_wsgi/4.5.18 Python/3.6 configured -- resuming normal operations",6,0,N/A,,notice
0.0.0.0,-,-,[12/Nov/2021:00:00:01 +0000],"[pid 22378] AH00094: Command line: '/usr/sbin/httpd-prefork -D SYSCONFIG -D SSL -C PidFile /var/run/httpd.pid -C Include /etc/apache2/sysconfig.d//loadmodule.conf -C Include /etc/apache2/sysconfig.d//global.conf -f /etc/apache2/httpd.conf -c Include /etc/apache2/sysconfig.d//include.conf -D SYSTEMD -D FOREGROUND'",6,0,N/A,,notice
10.222.128.85,-,-,[12/Nov/2021:00:03:52 +0000],"PHP Notice:  session_start(): A session had already been started - ignoring in /people/home/stiwari/public_html/Group_2/hw8/Login.php on line 59, referer: http://clabsql.clamv.jacobs-university.de/~stiwari/Group_2/hw8/Login.php",6,0,N/A,client 10.222.128.85,notice
10.82.220.38,-,-,[12/Nov/2021:00:04:13 +0000],"PHP Notice:  session_start(): A session had already been started - ignoring in /people/home/stiwari/public_html/Group_2/hw8/Login.php on line 59, referer: http://clabsql.clamv.jacobs-university.de/~stiwari/Group_2/hw8/Login.php",6,0,N/A,client 10.82.220.38,notice
10.222.128.85,-,-,[12/Nov/2021:00:04:14 +0000],"PHP Warning:  mysqli_connect(): (HY000/1044): Access denied for user 'group2'@'localhost' to database 'group2read_only' in /people/home/stiwari/public_html/Group_2/hw8/test_readonly.php on line 6, referer: http://clabsql.clamv.jacobs-university.de/~stiwari/Group_2/hw8/sponsor.html",5,0,N/A,client 10.222.128.85,warn
10.222.128.85,-,-,[12/Nov/2021:00:04:14 +0000],"PHP Fatal error:  Uncaught Error: Call to undefined function mysql_error() in /people/home/stiwari/public_html/Group_2/hw8/test_readonly.php:8\nStack trace:\n#0 /people/home/stiwari/public_html/Group_2/hw8/sponsor.php(2): include_once()\n#1 {main}\n  thrown in /people/home/stiwari/public_html/Group_2/hw8/test_readonly.php on line 8, referer: http://clabsql.clamv.jacobs-university.de/~stiwari/Group_2/hw8/sponsor.html",4,0,N/A,client 10.222.128.85,error
10.222.128.85,-,-,[12/Nov/2021:00:04:21 +0000],"PHP Warning:  mysqli_connect(): (HY000/1044): Access denied for user 'group2'@'localhost' to database 'group2read_only' in /people/home/stiwari/public_html/Group_2/hw8/test_readonly.php on line 6, referer: http://clabsql.clamv.jacobs-university.de/~stiwari/Group_2/hw8/cluber.html",5,0,N/A,client 10.222.128.85,warn
10.222.128.85,-,-,[12/Nov/2021:00:04:21 +0000],"PHP Fatal error:  Uncaught Error: Call to undefined function mysql_error() in /people/home/stiwari/public_html/Group_2/hw8/test_readonly.php:8\nStack trace:\n#0 /people/home/stiwari/public_html/Group_2/hw8/cluber.php(2): include_once()\n#1 {main}\n  thrown in /people/home/stiwari/public_html/Group_2/hw8/test_readonly.php on line 8, referer: http://clabsql.clamv.jacobs-university.de/~stiwari/Group_2/hw8/cluber.html",4,0,N/A,client 10.222.128.85,error
10.222.128.96,-,-,[12/Nov/2021:00:10:38 +0000],"PHP Parse error:  syntax error, unexpected 'You' (T_STRING), expecting ';' or ',' in /people/home/jbako/public_html/test/login.php on line 28, referer: http://clabsql.clamv.jacobs-university.de/~jbako/test/project.html",4,0,N/A,client 10.222.128.96,error
10.222.128.96,-,-,[12/Nov/2021:00:19:04 +0000],"PHP Notice:  Undefined variable: _SESSION in /people/home/jbako/public_html/test/logout.php on line 2, referer: http://clabsql.clamv.jacobs-university.de/~jbako/test/maintenance.php",6,0,N/A,client 10.222.128.96,notice
10.222.128.96,-,-,[12/Nov/2021:00:19:04 +0000],"PHP Warning:  session_destroy(): Trying to destroy uninitialized session in /people/home/jbako/public_html/test/logout.php on line 4, referer: http://clabsql.clamv.jacobs-university.de/~jbako/test/maintenance.php",5,0,N/A,client 10.222.128.96,warn
10.222.128.96,-,-,[12/Nov/2021:00:26:38 +0000],"PHP Parse error:  syntax error, unexpected 'You' (T_STRING), expecting ';' or ',' in /people/home/jbako/public_html/test/login.php on line 30, referer: http://clabsql.clamv.jacobs-university.de/~jbako/test/project.html",4,0,N/A,client 10.222.128.96,error
10.222.128.96,-,-,[12/Nov/2021:00:26:42 +0000],"PHP Parse error:  syntax error, unexpected 'You' (T_STRING), expecting ';' or ',' in /people/home/jbako/public_html/test/login.php on line 30, referer: http://clabsql.clamv.jacobs-university.de/~jbako/test/project.html",4,0,N/A,client 10.222.128.96,error
10.222.128.96,-,-,[12/Nov/2021:00:26:47 +0000],"PHP Parse error:  syntax error, unexpected 'You' (T_STRING), expecting ';' or ',' in /people/home/jbako/public_html/test/login.php on line 30, referer: http://clabsql.clamv.jacobs-university.de/~jbako/test/project.html",4,0,N/A,client 10.222.128.96,error
10.222.128.96,-,-,[12/Nov/2021:00:27:30 +0000],"PHP Parse error:  syntax error, unexpected 'You' (T_STRING), expecting ';' or ',' in /people/home/jbako/public_html/test/login.php on line 30, referer: http://clabsql.clamv.jacobs-university.de/~jbako/test/project.html",4,0,N/A,client 10.222.128.96,error
10.222.128.96,-,-,[12/Nov/2021:00:27:31 +0000],"PHP Parse error:  syntax error, unexpected 'You' (T_STRING), expecting ';' or ',' in /people/home/jbako/public_html/test/login.php on line 30, referer: http://clabsql.clamv.jacobs-university.de/~jbako/test/project.html",4,0,N/A,client 10.222.128.96,error
